Store,Address,City,Province,Postal Code,Phone Number
Sobeys Liquor Battleford,82C Battleford Place,Battleford ,Saskatchewan,S0M0E0,306-937-0010
Sobeys Liquor Emerald Park,#100 6 S Plains Road,Emerald Park,Saskatchewan,S4L1B7,306-775-0178
Sobeys Liquor Humboldt,2309 8th Ave A,Humboldt,Saskatchewan,S0K2A0,306-682-5990
Sobeys Liquor Kindersley,705 11th Ave E O ,Kindersley,Saskatchewan,S0L1S0,306-463-0026
Sobeys Liqour Moose Jaw,1251 Main Street N Unit 1,Moose Jaw,Saskatchewan,S6H6M3,306-694-7784
Sobeys Liquor Preston,"1741 Preston Ave N, 60",Saskatoon,Saskatchewan,S7T0V1,306-956-7708
Sobeys Liquor Rochdale,1060 Posqua Street,Regina,Saskatchewan,SX44V3,306-522-7570
Sobeys Liquor Southland,2965 Gordon Road Unit 1Y3,Regina,Saskatchewan,S4S6H7,306-779-3674
Sobeys Liquor Stonebridge,3120 Preston Avenue S,Saskatoon,Saskatchewan,S7T0V1,306-244-3980
Sobeys Liquor Tisdale,900 93 Ave,Tisdale,Saskatchewan,S0E1T0,306-873-1091
Sobeys Liquor Yorkton,275 Broadway Street #27,Yorkton,Saskatchewan,S3N3G7,306-786-8844
