LicNumber,LicName,LicPhone,LicFax,StoreAddress1,StoreAddress2,StoreAddress3,MailingAddress11,MailingAddress21,MailingAddress31,StoreCity,StorePC
77668900,ACHESON LIQUOR,(780) 571-0045,NOFAX,104-9817 266 STREET, , ,104-9817 266 STREET, , ,ACHESON,T7X 6H6
74259300,HORSEMAN LIQUOR STORE,(403) 948-2800,(403) 948-2801,521 3 AVENUE NE, , ,521 3 AVENUE NE, , ,AIRDRIE,T4B 1R8
76052600,CO-OP WINE SPIRITS BEER - AIRDRIE,(403) 912-3708,(403) 913-3709,900-2700 MAIN STREET SE, , ,900-2700 MAIN STREET SE, , ,AIRDRIE,T4B 2Y1
76572700,REAL CANADIAN LIQUOR STORE,(403) 945-2340,(403) 945-2339,300 VETERANS BOULEVARD NE, , ,300 VETERANS BOULEVARD NE, , ,AIRDRIE,T4B 3P2
76650000,LIQUOR DEPOT AT TOWERLANE,(403) 945-1416,(403) 945-1416,TOWER LANE II,700-705 MAIN STREET SOUTH, ,101-17220 STONY PLAIN ROAD, , ,AIRDRIE,T4B 2B9
76872400,S & S LIQUOR #2,(403) 912-1178,(403) 912-1164,404-3 STONEGATE DRIVE NW, , ,404-3 STONEGATE DRIVE NW, , ,AIRDRIE,T4B 0N2
76911700,EVEREST LIQUOR,(403) 912-7844,(403) 912-7843,3-905 1 AVENUE NW, , ,25 CANALS COVE SW, , ,AIRDRIE,T4B 2X7
77000600,SOBEYS LIQUOR (AIRDRIE),(403) 945-9720,(403) 945-4319,5105 35 MACKENZIE WAY SW, , ,1020 64 AVENUE NE, , ,AIRDRIE,T4B 0V7
77055500,EAST AIRDRIE LIQUOR STORE,(403) 945-0807,(403) 945-0837,E1-1861 MEADOWBROOK DRIVE, , ,113 PARK DRIVE, , ,AIRDRIE,T4A 1V3
77107100,SIERRA SPRINGS LIQUOR,(403) 948-4202,NOFAX,101-2958 MAIN STREET, , ,101-2958 MAIN STREET, , ,AIRDRIE,T4B 3G4
77122400,ENJOY LIQUOR,(403) 945-0920,(403) 945-0921,301-800 VETERANS BOULEVARD NW, , ,137 ROYAL CREST BAY NW, , ,AIRDRIE,T4B 3G9
77183500,MALWA LIQUOR,(587) 775-0166,NOFAX,102-2914 KINGSVIEW BOULEVARD SE, , ,131 EDGEBROOK MEWS NW, , ,AIRDRIE,T4A 0E1
77216500,EAST LAKE WINE AND SPIRITS,(403) 948-5003,NOFAX,10-805 EAST LAKE BOULEVARD NE, , ,10-805 EAST LAKE BOULEVARD NE, , ,AIRDRIE,T4A 2G4
77287600,BIG STAR LIQUOR,(587) 360-4600,NOFAX,102-85 RAILWAY AVENUE SW, , ,144 KINNIBURGH BOULEVARD, , ,AIRDRIE,T4B 3W9
77373800,SOBEYS LIQUOR (SIERRA SPRINGS),(587) 775-2899,NOFAX,SPRINGS,121-2917 MAIN STREET SW, ,1020 64 AVENUE NE, , ,AIRDRIE,T4B 3G4
77378300,SOBEYS LIQUOR (KINGSVIEW),(587) 775-7904,NOFAX,1100 MARKET STREET SE, , ,1020 64 AVENUE NE, , ,AIRDRIE,T4A 0K9
