SKUNumber,SKUDescription,UnitSize,UnitsPerCase,QtySoldInMonth,UnitofMeasureSold,LicNumber,LicName,CasePrice,UnitPrice
792565,RAILWAY AVENUE RYE IPA 473ML CAN 4-PKCLS,1892,6,1,CS,62576900,CHATEAU LOUIS HOTEL & CONFERENCE CENTRE,71.16,11.86
792565,RAILWAY AVENUE RYE IPA 473ML CAN 4-PKCLS,1892,6,2,CS,75432900,LAKE LOUISE LIQUOR STORE,71.16,11.86
792565,RAILWAY AVENUE RYE IPA 473ML CAN 4-PKCLS,1892,6,1,CS,75432900,LAKE LOUISE LIQUOR STORE,75.66,12.61
792565,RAILWAY AVENUE RYE IPA 473ML CAN 4-PKCLS,1892,6,1,CS,75480200,SOBEYS LIQUOR (LAKELAND),71.16,11.86
792565,RAILWAY AVENUE RYE IPA 473ML CAN 4-PKCLS,1892,6,1,CS,75501400,CALGARY CO-OP WINES & SPIRITS -,71.16,11.86
792565,RAILWAY AVENUE RYE IPA 473ML CAN 4-PKCLS,1892,6,1,CS,75618600,CALGARY CO-OP WINES & SPIRITS - RICHMOND,75.66,12.61
792565,RAILWAY AVENUE RYE IPA 473ML CAN 4-PKCLS,1892,6,1,CS,76052600,CO-OP WINE SPIRITS BEER - AIRDRIE,71.16,11.86
792565,RAILWAY AVENUE RYE IPA 473ML CAN 4-PKCLS,1892,6,2,CS,76129800,CALGARY CO-OP WINES & SPIRITS -,71.16,11.86
792565,RAILWAY AVENUE RYE IPA 473ML CAN 4-PKCLS,1892,6,10,CS,76310500,SOLO LIQUOR STORE #8,71.16,11.86
792565,RAILWAY AVENUE RYE IPA 473ML CAN 4-PKCLS,1892,6,8,CS,76310500,SOLO LIQUOR STORE #8,75.66,12.61
792565,RAILWAY AVENUE RYE IPA 473ML CAN 4-PKCLS,1892,6,1,CS,76345200,BK BOWFORT LIQUOR STORE,71.16,11.86
792565,RAILWAY AVENUE RYE IPA 473ML CAN 4-PKCLS,1892,6,1,CS,76346500,SOBEYS LIQUOR (ROYAL OAK),71.16,11.86
792565,RAILWAY AVENUE RYE IPA 473ML CAN 4-PKCLS,1892,6,1,CS,76346700,SOBEYS LIQUOR (VILLAGE MALL),75.66,12.61
792565,RAILWAY AVENUE RYE IPA 473ML CAN 4-PKCLS,1892,6,1,CS,76474100,LIQUOR DEPOT AT BRENTWOOD,71.16,11.86
792565,RAILWAY AVENUE RYE IPA 473ML CAN 4-PKCLS,1892,6,4,CS,76474700,LIQUOR DEPOT AT CASCADE,71.16,11.86
792565,RAILWAY AVENUE RYE IPA 473ML CAN 4-PKCLS,1892,6,5,CS,76474700,LIQUOR DEPOT AT CASCADE,75.66,12.61
792565,RAILWAY AVENUE RYE IPA 473ML CAN 4-PKCLS,1892,6,1,CS,76559800,CALGARY CO-OP WINES & SPIRITS - MIDTOWN,71.16,11.86
792565,RAILWAY AVENUE RYE IPA 473ML CAN 4-PKCLS,1892,6,1,CS,76577600,SOLO LIQUOR STORE #1A,71.16,11.86
